alpha,rho,detection_mode,update_buffer,shadow_method,tau_s,tau_h,shadow_alpha,shadow_beta,kernel_opening_size,kernel_closing_size,morph_shape,morph_op,min_area,merge_dist,mAP
5.8282874680446195,0.060481587972391504,rgb,2,hsv,59,90,0.5294228482388065,0.9885237046373082,3,15,rect,close,579,12,0.5709342938351584
5.672447568237901,0.06030066781535387,gray,2,hsv,52,90,0.5319254401516303,0.9520669489310586,3,15,rect,close,581,14,0.6354110978802999
5.671852832357404,0.03650265475873334,gray,2,hsv,63,93,0.5373777829412814,0.9516872979188274,3,15,rect,close,566,15,0.6470752735603288
5.703824924288946,0.035717873295588884,gray,2,hsv,65,95,0.524583720481739,0.9989691979680426,3,13,rect,close,568,11,0.6387205826459638
5.711081645926855,0.0546492925177914,gray,2,hsv,65,95,0.5418038673924932,0.9982799486428394,3,13,rect,close,566,15,0.655290868919983
5.852858801066129,0.053677403254964735,gray,2,hsv,47,93,0.5390884552307181,0.9659470244153914,3,15,rect,close,589,15,0.6532476014621955
5.574388494746449,0.053702664774721236,gray,2,hsv,69,93,0.5424010745053528,0.9766975924053503,3,15,rect,close,569,15,0.6414749567726642
5.541025384807973,0.05402986709586221,gray,2,hsv,63,93,0.5379777323097896,0.9780725295265987,3,15,rect,close,594,15,0.645893223287324
5.864133061325376,0.06682044464922689,gray,2,hsv,57,96,0.518731654772793,0.953751955565836,3,17,rect,close,591,13,0.6262601835145973
5.663826502665669,0.06534035862096316,gray,1,hsv,63,96,0.551910168941744,0.979785280778554,3,15,rect,close,592,11,0.6259784757617275
2.745781323837327,0.07640352143139938,gray,1,hsv,62,91,0.5503087308927266,0.9943071372408664,3,15,rect,close,594,15,0.06013222695854532
2.8387977604761385,0.07644953889429829,gray,2,hsv,68,91,0.5403490128070415,0.9944514421070231,3,17,rect,close,270,18,0.041787347549972396
3.248677843137324,0.054895115286432525,gray,2,hsv,67,93,0.5390400820818905,0.9678543244154325,3,17,rect,close,262,18,0.10828447193134601
3.5249899195750936,0.057474947857789914,gray,2,hsv,57,95,0.5091277710355617,0.9684965495360143,3,13,rect,open_close,574,10,0.13565682857570754
5.749014958795198,0.036750456738878126,gray,2,hsv,56,95,0.5078768902606252,0.959487875017835,3,13,rect,close,582,13,0.651900550527114
